Date,Open,High,Low,Close,Volume,Adj Close
2015-07-24,45.91,46.32,45.799999,45.939999,32077000,45.939999
2015-07-23,45.27,46.23,45.099998,46.110001,33465600,46.110001
2015-07-22,45.439999,46.93,45.200001,45.540001,58724600,45.540001
2015-07-21,46.779999,47.330002,46.48,47.279999,41205000,47.279999
2015-07-20,46.650002,47.130001,46.439999,46.919998,30271200,46.919998
2015-07-17,46.549999,46.779999,46.259998,46.619999,29262900,46.619999
2015-07-16,46.009998,46.689999,45.970001,46.66,25894400,46.66
2015-07-15,45.68,45.889999,45.43,45.759998,26482000,45.759998
2015-07-14,45.450001,45.959999,45.310001,45.619999,22723700,45.619999
2015-07-13,44.98,45.619999,44.950001,45.540001,24994700,45.540001
2015-07-10,45.009998,45.139999,44.57,44.610001,25365300,44.610001
2015-07-09,44.75,45.220001,44.50,44.52,32099800,44.52
2015-07-08,44.439999,44.900002,44.029999,44.240002,39686300,44.240002
2015-07-07,44.34,44.490002,43.32,44.299999,36418200,44.299999
2015-07-06,43.959999,44.48,43.950001,44.389999,22969700,44.389999
2015-07-02,44.48,44.75,44.060001,44.400002,21713000,44.400002
2015-07-01,44.459999,45.23,44.099998,44.450001,28337200,44.450001
2015-06-30,44.709999,44.720001,43.939999,44.150002,35214100,44.150002
2015-06-29,45.040001,45.23,44.360001,44.369999,33899600,44.369999
2015-06-26,45.650002,46.279999,45.029999,45.259998,45610900,45.259998
2015-06-25,46.029999,46.060001,45.50,45.650002,20569500,45.650002
2015-06-24,45.669998,46.25,45.549999,45.639999,34784600,45.639999
2015-06-23,46.130001,46.279999,45.619999,45.91,25787000,45.91
2015-06-22,46.330002,46.720001,46.16,46.23,20278600,46.23
2015-06-19,46.790001,46.830002,45.990002,46.099998,57500600,46.099998
2015-06-18,46.220001,46.799999,46.169998,46.720001,32184500,46.720001
2015-06-17,45.73,46.07,45.360001,45.970001,28566300,45.970001
2015-06-16,45.349998,46.240002,45.299999,45.830002,26822500,45.830002
2015-06-15,45.450001,45.650002,45.02,45.48,30080100,45.48
2015-06-12,46.220001,46.470001,45.900002,45.970001,23416200,45.970001
2015-06-11,46.66,46.919998,46.130001,46.439999,27186700,46.439999
2015-06-10,45.790001,46.830002,45.689999,46.610001,27952300,46.610001
2015-06-09,45.759998,45.939999,45.459999,45.650002,24124700,45.650002
